Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,86.12999725341797,86.30999755859375,85.5,85.94999694824219,80.73814392089844,22483800
2018-01-03,86.05999755859375,86.51000213623047,85.97000122070312,86.3499984741211,81.1139144897461,26061400
2018-01-04,86.58999633789062,87.66000366210938,86.56999969482422,87.11000061035156,81.82781982421875,21912000
2018-01-05,87.66000366210938,88.41000366210938,87.43000030517578,88.19000244140625,82.84233093261719,23407100
2018-01-08,88.19999694824219,88.58000183105469,87.5999984741211,88.27999877929688,82.92689514160156,22113000
2018-01-09,88.6500015258789,88.7300033569336,87.86000061035156,88.22000122070312,82.87051391601562,19484300
2018-01-10,87.86000061035156,88.19000244140625,87.41000366210938,87.81999969482422,82.49475860595703,18652200
2018-01-11,88.12999725341797,88.12999725341797,87.23999786376953,88.08000183105469,82.739013671875,17808900
2018-01-12,88.66999816894531,89.77999877929688,88.44999694824219,89.5999984741211,84.16683959960938,24271500
2018-01-16,90.0999984741211,90.79000091552734,88.01000213623047,88.3499984741211,82.9926528930664,36599700
2018-01-17,89.08000183105469,90.27999877929688,88.75,90.13999938964844,84.67411041259766,25621200
2018-01-18,89.80000305175781,90.66999816894531,89.66000366210938,90.0999984741211,84.63652801513672,24159700
2018-01-19,90.13999938964844,90.61000061035156,89.66000366210938,90.0,84.54257202148438,36875000
2018-01-22,90.0,91.62000274658203,89.73999786376953,91.61000061035156,86.0549545288086,23601600
2018-01-23,91.9000015258789,92.30000305175781,91.54000091552734,91.9000015258789,86.32738494873047,23412800
2018-01-24,92.55000305175781,93.43000030517578,91.58000183105469,91.81999969482422,86.25223541259766,33277500
2018-01-25,92.47000122070312,93.23999786376953,91.93000030517578,92.33000183105469,86.73130798339844,26383200
2018-01-26,93.12000274658203,94.05999755859375,92.58000183105469,94.05999755859375,88.35640716552734,29172200
2018-01-29,95.13999938964844,95.44999694824219,93.72000122070312,93.91999816894531,88.2248764038086,31569900
2018-01-30,93.30000305175781,93.66000366210938,92.0999984741211,92.73999786376953,87.1164321899414,38635100
2018-01-31,93.75,95.4000015258789,93.51000213623047,95.01000213623047,89.24879455566406,48756300
2018-02-01,94.79000091552734,96.06999969482422,93.58000183105469,94.26000213623047,88.54426574707031,47227900
2018-02-02,93.63999938964844,93.97000122070312,91.5,91.77999877929688,86.21463775634766,47867800
2018-02-05,90.55999755859375,93.23999786376953,88.0,88.0,82.66385650634766,51031500
2018-02-06,86.88999938964844,91.4800033569336,85.25,91.33000183105469,85.79191589355469,67998600
2018-02-07,90.48999786376953,91.7699966430664,89.19999694824219,89.61000061035156,84.1762466430664,41107600
2018-02-08,89.70999908447266,89.87999725341797,84.76000213623047,85.01000213623047,79.85516357421875,55628700
2018-02-09,86.30000305175781,88.93000030517578,83.83000183105469,88.18000030517578,82.83294677734375,63499100
